,Period,Country,Event_type,Outline,,States,Non-structured-data,More Information of Incident
0,13-05-2022,India,"Flood, Landslide","Heavy rainfall has been affecting northeastern India (in particular Arunchal Pradesh, Assam, and Meghalaya States) since 13 May 2022, triggering landslides and causing river overflow and floods that have resulted in casualties and damage.
Media report, as of 16 May, seven fatalities, of which one in Itanagar City (southern Arunchal Pradesh), due to a landslide, three in the Dima Hasao District (central Assam) also in this case due to a landslide, and three more across central Meghalaya (two in East Khasi Hills District and one Ri-Bhoi District) due to floods.",,arunchal',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2022-000213-IND"">FL-2022-000213-IN', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewWhatsNewPdf-D888', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-857', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-849', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-843', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-840', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-836', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-833', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-830', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-827', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-820', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-813', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-805', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-804', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-800', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewWhatsNewPdf-D888', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-857', 'https://floodlist.com/asia/india-amarnath-kashmir-floods-july-2022"">Floo', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-849', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-843', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-840', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-836', 'https://floodlist.com/asia/india-floods-meghalaya-assam-sikkim-june-2022"">Floo', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-833', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-830', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-827', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-820', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-813', 'https://reliefweb.int/report/india/india-bangladesh-floods-and-landslides-update-dg-echo-bmd-imd-media-echo-daily-flash-23-may-2022""', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-805', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-804', 'https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewsituationDisasterReportPdfDocument-800', 'https://reliefweb.int/report/india/india-floods-and-landslides-floodlist-media-imd-echo-daily-flash-16-may-2022""', 'https://sentinel-asia.org/EO/2022/article20220713IN.html"">Sen', 'https://sentinel-asia.org/EO/2022/article20220712IN.html"">Sen', 'https://sentinel-asia.org/EO/2022/article20220615IN.html"">Sen', 'https://sentinel-asia.org/EO/2022/article20220515IN.html"">Sen']","['2022/05/13', 'India', 'Flood, Landslide', 'Heavy rainfall has been affecting northeastern India (in particular Arunchal Pradesh, Assam, and Meghalaya States) since 13 May 2022, triggering landslides and causing river overflow and floods that have resulted in casualties and damage.\nMedia report, as of 16 May, seven fatalities, of which one in Itanagar City (southern Arunchal Pradesh), due to a landslide, three in the Dima Hasao District (central Assam) also in this case due to a landslide, and three more across central Meghalaya (two in East Khasi Hills District and one Ri-Bhoi District) due to floods.', 'Dead: 1,464\nMissing: 62\nInjured: 774', 'Fully damaged houses: 35,790\nPartially damaged houses: 331,138', '', 'Dead: 843\nMissing: 73\nInjured: 321', 'Fully damaged houses: 22,821\nPartially damaged houses: 135,388', '', 'Dead: 743\nMissing: 77\nInjured: 1,218', 'Fully damaged houses: 22,306\nPartially damaged houses: 131,201', '', 'Dead: 601\nMissing: 55\nInjured: 1,224', 'Fully damaged houses: 18,280\nPartially damaged houses: 126,551', '', 'Dead: 532\nMissing: 55\nInjured: 1,095', 'Fully damaged houses: 17,706\nPartially damaged houses: 118,175', '', 'Dead: 432\nMissing: 56\nInjured: 944', 'Fully damaged houses: 17,079\nPartially damaged houses: 116,318', '', 'Dead: 299\nMissing: 38\nInjured: 915', 'Fully damaged houses: 15,969\nPartially damaged houses: 113,653', '', 'Dead: 230\nMissing: 15\nInjured: 832\n', 'Fully damaged houses: 15,864\nPartially damaged houses: 112,600', '', 'Dead: 221 \nMissing: 14 \nInjured: 830 \n\n', 'Fully damaged houses: 15,857\nPartially damaged houses: 112,580\n', '', 'Total cumulative number of death (since 6 April 2022): 38', '', '', 'Total cumulative number of death (since 6 April 2022): 32', '', '', 'Total cumulative number of death: 24', '', '', 'Total cumulative number of death: 18', '', '', '(During last 24 hours)\nDead: 5\nPeople affected: 403,506\nPeople evacuated: 3,452', '(During last 24 hours)\nHouses damaged: 2,025', '']"
1,2021/11/18-19,India,Flood,"The Disaster Management Division (DMD) of India, reports that at least 24 people have lost their lives after floods in the state of Andhra Pradesh that began from 18-19 November 2021. DMD said that, as of 21 November, 24 people had lost their lives and 17 were missing.",,andhra',"['https://ndmindia.mha.gov.in/NDMINDIA-CMS/viewWhatsNewPdf-D693', 'https://reliefweb.int/report/india/india-floods-dg-echo-ndmi-imd-floodlist-media-echo-daily-flash-22-november-2021""']","['2021/11/18-19', 'India', 'Flood', 'The Disaster Management Division (DMD) of India, reports that at least 24 people have lost their lives after floods in the state of Andhra Pradesh that began from 18-19 November 2021. DMD said that, as of 21 November, 24 people had lost their lives and 17 were missing. ']"
2,07-11-2021,India,Flood,"Ongoing floods caused by heavy rains have been affecting the state of Tamil Nadu, southern India since 7 November 2021. 14 people have lost their lives and thousands of people have been displaced due to the disasters.",,tamil',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2021-000172-IND"">FL-2021-000172-IN', 'https://floodlist.com/asia/india-over-11000-displaced-by-tamil-nadu-floods"">Floo', 'https://sentinel-asia.org/EO/2021/article20211107IN.html"">Sen']","['2021/11/07', 'India', 'Flood', 'Ongoing floods caused by heavy rains have been affecting the state of Tamil Nadu, southern India since 7 November 2021. 14 people have lost their lives and thousands of people have been displaced due to the disasters.']"
3,18-10-2021,India,Landslide,"Heavy rain has been affecting the Himalayan State of Uttarakhand, northern India, triggering several landslides and causing flash floods that have resulted in casualties and severe damage. The National Emergency Response Centre (NDMI) reports, as of 19 October 2021, 27 fatalities, due to several landslides occurred on 18-19 October 2021 in 13 Districts across central-northern Uttarakhand.",,uttarakhand',"['https://reliefweb.int/report/india/india-nepal-landslides-and-floods-update-dg-echo-ndmi-imd-drrp-dhm-media-echo-daily""', 'https://reliefweb.int/report/india/india-landslides-and-floods-dg-echo-ndmi-cwc-imd-media-echo-daily-flash-20-october-2021""', 'https://reliefweb.int/map/india/india-uttarakhand-nepal-recent-landslides-dg-echo-daily-map-22102021""']","['2021/10/18', 'India', 'Landslide', 'Heavy rain has been affecting the Himalayan State of Uttarakhand, northern India, triggering several landslides and causing flash floods that have resulted in casualties and severe damage. The National Emergency Response Centre (NDMI) reports, as of 19 October 2021, 27 fatalities, due to several landslides occurred on 18-19 October 2021 in 13 Districts across central-northern Uttarakhand.']"
4,16-10-2021,India,Flood,At least 26 people have been killed in floods in southern India occurred on 16 October 2021 after heavy rains caused rivers to overflow. Kottayam and Idukki are two of the worst affected districts in Kerala state. Days of heavy rainfall has also caused deadly landslides. Swollen rivers have washed away bridges connecting many small villages.,,kerala',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2021-000161-IND"">FL-2021-000161-IN', 'https://reliefweb.int/report/india/india-flash-floods-and-landslides-update-ndmi-imd-media-echo-daily-flash-19-october""', 'https://www.bbc.com/news/world-asia-india-58940880', 'https://sentinel-asia.org/EO/2021/article20211016IN.html"">Sen']","['2021/10/16', 'India', 'Flood', 'At least 26 people have been killed in floods in southern India occurred on 16 October 2021 after heavy rains caused rivers to overflow. Kottayam and Idukki are two of the worst affected districts in Kerala state. Days of heavy rainfall has also caused deadly landslides. Swollen rivers have washed away bridges connecting many small villages.']"
5,26-09-2021,India,Tropical Depression,"Tropical Cyclone Gulab made landfall between the coastal states of Odisha and Andhra Pradesh on 26 September 2021. Gulab then weakened to a tropical depression as it moved westward and inland. At least 20 people have lost their lives after Tropical Cyclone Gulab and its remnants brought severe weather and flooding to parts of Odisha, Andhra Pradesh, Telangana and Maharashtra states in India over the last few says.",,odisha',"['https://reliefweb.int/report/india/india-severe-weather-ndmi-imd-media-echo-daily-flash-29-september-2021""']","['2021/09/26', 'India', 'Tropical Depression', 'Tropical Cyclone Gulab made landfall between the coastal states of Odisha and Andhra Pradesh on 26 September 2021. Gulab then weakened to a tropical depression as it moved westward and inland. At least 20 people have lost their lives after Tropical Cyclone Gulab and its remnants brought severe weather and flooding to parts of Odisha, Andhra Pradesh, Telangana and Maharashtra states in India over the last few says.']"
6,18-07-2021,India,Flood,"Heavy Monsoon rainfall in western India has caused widespread damage and triggered flash floods and several landslides in part of the country’s largest city, Mumbai on 18 July 2021. According to the latest assessments, at least 14 bodies have been retrieved from the collapsed buildings in Chembur, while 6 people have lost their lives in Vikhroli. Dozens of people were reportedly injured.",,,"['https://reliefweb.int/report/india/india-floods-and-landslides-update-ndmi-imd-floodlist-echo-daily-flash-28-july-2021""', 'https://www.reuters.com/world/india/heavy-rain-india-triggers-floods-landslides-least-125-dead-2021-07-24/"">Re', 'https://reliefweb.int/report/india/india-landslides-and-floods-imd-floodlist-media-echo-daily-flash-19-july-2021""', 'https://reliefweb.int/report/india/25-people-killed-wall-collapse-and-landslide-incidents-mumbai-following-heavy-rain"">Gover', 'https://floodlist.com/asia/india-mumbai-landslides-july-2021"">Floo']","['2021/07/18', 'India', 'Flood', 'Heavy Monsoon rainfall in western India has caused widespread damage and triggered flash floods and several landslides in part of the country’s largest city, Mumbai on 18 July 2021. According to the latest assessments, at least 14 bodies have been retrieved from the collapsed buildings in Chembur, while 6 people have lost their lives in Vikhroli. Dozens of people were reportedly injured. ']"
7,12-07-2021,India,Flood,"Days of heavy monsoon rainfall has triggered flooding and several landslides in northern India, affecting the states of Bihar, Himachal Pradesh and Uttarakhand.",,bihar',"['https://floodlist.com/asia/india-floods-bihar-himachal-pradesh-uttarakhand-july-2021"">Floo']","['2021/07/12', 'India', 'Flood', 'Days of heavy monsoon rainfall has triggered flooding and several landslides in northern India, affecting the states of Bihar, Himachal Pradesh and Uttarakhand.']"
8,11-07-2021,India,Lightning,"At least 18 people, including seven children, were killed and 16 others injured by lightning strikes in the northwestern Indian state of Rajasthan late on Sunday, 11 July 2021.",,rajasthan',"['https://www.reuters.com/article/us-india-lightning-casualties/at-least-18-people-killed-in-lightning-strikes-in-india-idUSKBN2EI0ZF"">Re']","['2021/07/11', 'India', 'Lightning', 'At least 18 people, including seven children, were killed and 16 others injured by lightning strikes in the northwestern Indian state of Rajasthan late on Sunday, 11 July 2021.']"
9,17-05-2021,India,Tropical Cyclone,A low pressure system over the Lakshadweep archipelago and adjoining Arabian Sea has intensified into Cyclonic Storm “Tauktae”. The Indian Meteorological Department (IMD) forecasts the storm to intensify further into a Very Severe Cyclonic Storm and continue to move north-northwestwards. The storm is predicted to reach the Gujarat coast by 18 May with wind speeds of up to 150 to 160 km/h.,,gujarat',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2021-000056-IND"">TC-2021-000056-IN', 'https://reliefweb.int/report/india/ministry-home-affairs-disaster-management-division-national-emergency-response-169"">Gover', 'https://reliefweb.int/report/india/ministry-home-affairs-disaster-management-division-national-emergency-response-169"">Gover', 'https://reliefweb.int/report/india/india-tropical-cyclone-tauktae-update-gdacs-imd-ndm-india-echo-daily-flash-19-may-2021""', 'https://www.bbc.com/news/uk-57139989', 'https://www.bbc.com/news/uk-57139989', 'https://reliefweb.int/map/india/india-tropical-cyclone-tauktae-estimated-impacts-warning-10-16-may-2021-1500-utc']","['2021/05/17', 'India', 'Tropical Cyclone', 'A low pressure system over the Lakshadweep archipelago and adjoining Arabian Sea has intensified into Cyclonic Storm “Tauktae”. The Indian Meteorological Department (IMD) forecasts the storm to intensify further into a Very Severe Cyclonic Storm and continue to move north-northwestwards. The storm is predicted to reach the Gujarat coast by 18 May with wind speeds of up to 150 to 160 km/h. ', 'Dead: 181\r\nInjured: 101\r\nAffected: 14,117,772', 'Houses damaged: 122,530 houses', '']"
